item_code,advt_no,details,link
1906,,NOTIFICATION FOR INTERVIEW OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (03-08-2023),/assets/pdf/Notifications/INT_SCH_SANSKRITI_2023_03082023.pdf
1905,,NOTIFICATION FOR INTERVIEW OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (02-08-2023),/assets/pdf/Notifications/INT_SCH_LECTURER_2023_02082023.pdf
1904,,AMENDED EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (21-07-2023) ,/assets/pdf/Notifications/AMENDED_EXAM_SCH_CJ_2023_21072023.pdf
1903,,EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (12-07-2023) ,/assets/pdf/Notifications/EXAM_SCH_CJ_2023_12072023.pdf
1902,,EXAM SCHEDULE - DISTRICT AYURVEDA OFFICER EXAM-2023 AND ASSISTANT DIRECTOR (TECHNICAL) EXAM-2023(12-07-2023) ,/assets/pdf/Notifications/EXAM_SCH_DAO_ADT_2023_12072023.pdf
1901,,EXAM SCHEDULE - ASSISTANT DIRECTOR AGRICULTURE EXAM-2023 (12-07-2023) ,/assets/pdf/Notifications/EXAM_SCH_ADA_2023_12072023.pdf
1900,,AMENDED NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CASUALTY MEDICAL OFFICER EXAM-2022 (07-07-2023),/assets/pdf/Notifications/AMEND_NOTI_CMO_2023_AS_MS_07072023.pdf
1899,,"NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF SCIENTIFIC OFFICER (PHYSICS, CHEMISTRY, BIOLOGY) EXAM-2022 (06-07-2023)",/assets/pdf/Notifications/NOTI_SO_2022_AS_MS_06072023.pdf
1898,,NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF AYURVEDA MEDICAL OFFICER EXAM-2022 (06-07-2023),/assets/pdf/Notifications/NOTI_AMO_2022_AS_MS_06072023.pdf
1897,,NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF PHYSIOTHERAPIST EXAM-2022 (06-07-2023),/assets/pdf/Notifications/NOTI_PHY_2022_AS_MS_06072023.pdf
1896,,IMPORTANT NOTIFICATION - STATE ENGINEERING SERVICES EXAM-2021 (06-07-2023) ,/assets/pdf/Notifications/NOTI_SES_2021_COURT_CASE_06072023.pdf
1895,,IMPORTANT NOTICE- EDIT IN ONLINE APPLICATION (04-07-2023) ,/assets/pdf/Notifications/EDIT_OA_04072023.pdf
1894,,SHORT TENDER NOTICE FOR SALE-2023 (27-06-2023) ,/assets/pdf/Notifications/SHORT_TENDER_NOTICE_27062023.pdf
1893,,NOTIFICATION FOR DOCUMENT VERIFICATION OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (22-06-2023),/assets/pdf/Notifications/Noti_DV_SANSKRITI_2023_22062023.pdf
1892,,DOCUMENT VERIFICATION SCHEDULE -VARIOUS POSTS IN SANSKRITI VIBHAG-2023,/assets/pdf/Notifications/DV_SCH_SANSKRITI_2023_22062023.pdf
1891,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_SANSKRITI_2023_22062023.pdf
1890,,NOTIFICATION FOR DOCUMENT VERIFICATION OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (22-06-2023),/assets/pdf/Notifications/Noti_DV_LECTURER_AYUSH_2023_22062023.pdf
1889,,DOCUMENT VERIFICATION SCHEDULE -LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023,/assets/pdf/Notifications/DV_SCH_LECTURER_AYUSH_2023_22062023.pdf
1888,, DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_LECTURER_AYUSH_2023_22062023.pdf
1887,,CAVEAT SUCHANA FOR CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (21-06-2023) ,/assets/pdf/Notifications/Caveat_Suchana_CJP_2023_21062023.pdf
1886,,NOTIFICATION ABOUT ONLINE ADMIT CARD CIVIL JUDGE (MAINS) EXAM-2022 (19-06-2023),/assets/pdf/Notifications/NOTI_ABOUT_AC_CJME_2022_19062023.pdf
1885,,NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CG FOREST SERVICE (COMBINED) EXAM-2020 (15-06-2023),/assets/pdf/Notifications/NOTI_ANSWER_SHEET_MARK_SHEET_CGFSE_2020_15062023.pdf
1884,,NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (MAINS) EXAM-2022 (06-06-2023),/assets/pdf/Notifications/NOTI_SCRIBE_CJME_2022_06062023.pdf
1883,,NOTIFICATION ABOUT ONLINE ADMIT CARD STATE SERVICE (MAINS) EXAM-2022 (06-06-2023),/assets/pdf/Notifications/NOTI_ABOUT_AC_SSME_2022_06062023.pdf
1882,,SHORT TENDER NOTICE FOR SALE-2023 (05-06-2023),/assets/pdf/Notifications/SHORT_TENDER_NOTICE_2023_05062023.pdf
1881,,IMPORTANT NOTICE (13-06-2023),/assets/pdf/Notifications/IMP_NOTI_TENDER_NOTICE_13062023.pdf
1880,,NOTIFICATION FOR SCRIBE IN STATE SERVICE (MAINS) EXAM-2022 (01-06-2023),/assets/pdf/Notifications/NOTI_SSME_2023_SCRIBE_01062023.pdf
1879,,CAVEAT SUCHANA FOR VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (29-05-2023) ,/assets/pdf/Notifications/Caveate_Suchana_advtno07_2023_29052023.pdf
1878,,NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (29-05-2023),/assets/pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_29052023.pdf
1877,,NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (26-05-2023),/assets/pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_26052023.pdf
1876,,NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF CIVIL JUDGE (MAINS) EXAM-2022 (26-05-2023),/assets/pdf/Notifications/NOTI_CJM_2022_OA_EXTEND_26052023.pdf
1875,,NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (PRELIMS) EXAM-2021 (20-05-2023),/assets/pdf/Notifications/NOTI_SSPE_2021_20052023.pdf
1874,,AMENDED EXAM SCHEDULE - CIVIL JUDGE (MAINS) EXAMINATION -2022 (19-05-2023) ,/assets/pdf/Notifications/NOTI_AMENDED_EXAM_SCH_CJM_2022_19052023.pdf
1873,,"CAVEAT SUCHANA FOR VARIOUS ADVT NO. (28/2022,29/2022,02/2023,03/2023,04/2023,05/2023,06/2023) (19-05-2023) ",/assets/pdf/Notifications/Caveate_Suchana_ADVTN_28_29_2022_AND_02_03_04_05_06_2023.pdf
1872,,CAVEAT SUCHANA FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (19-05-2023) ,/assets/pdf/Notifications/Caveate_Suchana_CGFSE_2020_19052023.pdf
1871,,SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2023 (19-05-2023) ,/assets/pdf/Notifications/Short_Tender_Noti_Stationary_19052023.pdf
1870,,NOTIFICATION ABOUT ONLINE ADMIT CARD PEON (GENERAL ADMINISTRATION DEPT. AND CGPSC) EXAM-2022 (17-05-2023),/assets/pdf/Notifications/NOTI_ABOUT_AC_PEON_2022_PHASE_2_17052023.pdf
1869,,NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2021 (16-05-2023),/assets/pdf/Notifications/NOTI_SSE_2021_16052023.pdf
1868,,IMPORTANT NOTIFICATION FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (INTERVIEW DATE FROM 18-05-2023 TO 03-06-2023) (16-05-2023),/assets/pdf/Notifications/IMP_NOTI_CGFSE2020_16052023.pdf
1867,,NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2022 (12-05-2023),/assets/pdf/Notifications/Noti_SSME_2022_12052023.pdf
1866,,NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2022 (12-05-2023),/assets/pdf/Notifications/Noti_CJME_2022_12052023.pdf
1865,,NOTIFICATION REGARDING INTERVIEW OF CASUALTY MEDICAL OFFICER EXAM- 2022 (11-05-2023),/assets/pdf/Notifications/Noti_INT_SCH_CMO_2022_11052023.pdf
1864,,INTERVIEW SCHEDULE -CASUALTY MEDICAL OFFICER EXAM- 2022 ,/assets/pdf/Notifications/INT_SCH_CMO_2022_11052023.pdf
1863,,"NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF SCIENTIFIC OFFICER (BIOLOGY, CHEMISTRY, PHYSICS) EXAM- 2022 (11-05-2023)",/assets/pdf/Notifications/Noti_INT_SCH_SO_2022_11052023.pdf
1862,,"INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -SCIENTIFIC OFFICER (BIOLOGY, CHEMISTRY, PHYSICS) EXAM- 2022",/assets/pdf/Notifications/INT_SCH_SO_2022_11052023.pdf
1861,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INT_CL_SO_2022_11052023.pdf
1860,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF PHYSIOTHERAPIST EXAM- 2022 (11-05-2023),/assets/pdf/Notifications/Noti_INT_SCH_PHY_2022_11052023.pdf
1859,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -PHYSIOTHERAPIST EXAM- 2022 ,/assets/pdf/Notifications/INT_SCH_PHY_2022_11052023.pdf
1858,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INT_CL_PHY_2022_11052023.pdf
